"","X.1","X","filename","time","species","spatial_angle","tracker_id","tracker_length","detection_depth","detection_length","spatial_dist","spatial_speed","site","tide","tide_type","camera_location","spatial_angle_simple","sinuosity","distance_to_pipe"
"1",-1.72915194924643,-1.76534894626344,"C4_20210125_075004_B_Twin-10.mp4",-1.15810128820541,"Moses Perch",-1.18974759962059,"C4_20210125_075004_B_Twin-10.mp4_8",-1.04258561393859,-0.0497998391489911,1.52728314450502,-0.305440426335619,-0.297659502204759,"TWIN",0.919174395990899,"high","middle","RIGHT",-0.816434885898439,0.0669813670765832
"2",-1.72902696426676,-1.76532895807944,"C4_20210125_075004_B_Twin-10.mp4",-1.15809367052081,"Moses Perch",-1.15250112440716,"C4_20210125_075004_B_Twin-10.mp4_8",-1.04258561393859,-0.0154992522536959,1.57479565461443,0.0743559902252105,0.0923831160214839,"TWIN",0.919174395990899,"high","middle","RIGHT",-0.816434885898439,0.0669813670765832
"3",-1.7289019792871,-1.76530896989544,"C4_20210125_075004_B_Twin-10.mp4",-1.15808616653299,"Moses Perch",-1.06089244067602,"C4_20210125_075004_B_Twin-10.mp4_8",-1.04258561393859,0.03863781862924,1.6057164945269,0.273211147496102,0.313700502919296,"TWIN",0.919174395990899,"high","middle","RIGHT",-0.816434885898439,0.0669813670765832
"4",-1.72877699430744,-1.76528898171144,"C4_20210125_075004_B_Twin-10.mp4",-1.15807854884837,"Moses Perch",-1.04721160644765,"C4_20210125_075004_B_Twin-10.mp4_8",-1.04258561393859,0.0696323248599288,1.65058942074134,0.34277037833108,0.368038825610413,"TWIN",0.919174395990899,"high","middle","RIGHT",-0.816434885898439,0.0669813670765832
"5",-1.72865200932778,-1.76526899352744,"C4_20210125_075004_B_Twin-10.mp4",-1.15807093116376,"Moses Perch",-1.03997634199234,"C4_20210125_075004_B_Twin-10.mp4_8",-1.04258561393859,0.130381557072078,1.71884151859691,0.817372422913916,0.855444751555911,"TWIN",0.919174395990899,"high","middle","RIGHT",-0.816434885898439,0.0669813670765832
"6",-1.72852702434811,-1.76524900534344,"C4_20210125_075004_B_Twin-10.mp4",-1.15806342717594,"Moses Perch",-1.04491484372643,"C4_20210125_075004_B_Twin-10.mp4_8",-1.04258561393859,0.147325220478188,1.74825402485511,-0.0532949291741034,-0.0266946253610428,"TWIN",0.919174395990899,"high","middle","RIGHT",-0.816434885898439,0.0669813670765832
"7",-1.72840203936845,-1.76522901715944,"C4_20210125_075004_B_Twin-10.mp4",-1.15805580949133,"Moses Perch",-1.04477471869999,"C4_20210125_075004_B_Twin-10.mp4_8",-1.04258561393859,0.207661192607262,1.81726028953782,0.624465368260066,0.657333422984574,"TWIN",0.919174395990899,"high","middle","RIGHT",-0.816434885898439,0.0669813670765832
"8",-1.72827705438879,-1.76520902897544,"C4_20210125_075004_B_Twin-10.mp4",-1.15804819180672,"Moses Perch",-1.05070474833335,"C4_20210125_075004_B_Twin-10.mp4_8",-1.04258561393859,0.22873745684413,1.85157488017239,0.371414774737817,0.397455994611543,"TWIN",0.919174395990899,"high","middle","RIGHT",-0.816434885898439,0.0669813670765832
"9",-1.72815206940912,-1.76518904079144,"C4_20210125_075004_B_Twin-10.mp4",-1.15804057412211,"Moses Perch",-1.03832664926058,"C4_20210125_075004_B_Twin-10.mp4_8",-1.04258561393859,0.265930864320956,1.87570821864066,0.25786634294554,0.280844237100007,"TWIN",0.919174395990899,"high","middle","RIGHT",-0.816434885898439,0.0669813670765832
"10",-1.72802708442946,-1.76516905260745,"C4_20210125_075004_B_Twin-10.mp4",-1.15803307013429,"Moses Perch",-1.03696088355357,"C4_20210125_075004_B_Twin-10.mp4_8",-1.04258561393859,0.307670132711616,1.93038531360784,0.51663351872503,0.567477676458622,"TWIN",0.919174395990899,"high","middle","RIGHT",-0.816434885898439,0.0669813670765832
